title,description,url,prep_time,cook_time,total_time,servings,ingredients,instructions,image_url,recipe_category,recipe_cuisine,keywords,calories
Grilled Breakfast Burrito,"A soft flour tortilla, rolled and lightly grilled, filled with scrambled eggs, sausage, potatoes, onions, peppers, and two cheeses.",https://www.food.com/recipe/grilled-breakfast-burrito-241728,30m,15m,45m,5 serving(s),"1/4  cup    vegetable oil | 2   large    potatoes, diced | 1       onion, diced | 1/2      bell pepper, diced | 1/4  cup    butter or 1/4  cup    margarine | 8       eggs, beaten | 1   lb    breakfast sausage or 1   lb    chorizo sausage, cooked and drained | 1   teaspoon    salt | 1/2  teaspoon    fresh ground black pepper | 1   cup    monterey jack cheese, shredded | 1   cup    sharp cheddar cheese, shredded | 10   large    flour tortillas | nonstick cooking spray","Heat 1/4 cup of vegetable oil in a large skillet over medium heat.  Fry potatoes until almost cooked through, then add onions and peppers, continuing to cook until vegetables are tender.  Drain, set aside. | In the same skillet, melt butter or margarine over medium heat.  Scramble eggs, adding potatoes, vegetables, and sausage during the last few moments of cooking.  Add salt and pepper to taste. | Top each tortilla with cheese and part of the egg mixture, roll into a burrito.  Spray a hot grill (I use a family size George Foreman) with cooking spray.  Grill for approximately 10 minutes or until lightly browned. | Serve hot with homemade Pico De Gallo, salsa, sour cream, or perhaps Spanish rice and refried beans.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/24/17/28/VKExjrzgTn8a0r18M54g_0S9A5142.jpg",Breakfast,All,"Cheese,Tex Mex,Southwestern U.S.,Mexican,Spicy,Brunch,< 60 Mins,Beginner Cook,Easy",1612.1
Roti Canai (Authentic Malaysian Recipe),This is the authentic recipe used by the Mamak (Indians) in Malaysia. The recipes that have margarine or eggs and milk are not the ones they use in those Indian food stalls. Incredibly easy. must try!,https://www.food.com/recipe/roti-canai-authentic-malaysian-recipe-270723,10m,10m,20m,4 serving(s),2   cups    all-purpose flour | 1   tablespoon    salt | 1   cup    water | 1   cup    cooking oil,"Mix the salt in the water. | Put the flour in a mixing bowl. Add the salted water gradually. | Mix the flour into a dough. kneed until smooth. Make sure the texture of the dough is not too sticky and gooey. | Oil your hands with cooking oil and then make the dough into palm sized balls. | In a bowl pour some oil so that the dough doesn’t stick to the bowl. Put in the balls, coating it with oil as you put one on top of each other. After it is all in a bowl, totally immerse it in oil. Leave over night. | Oil your kneading space. Take out one dough ball, flatten it out into with you palms until the size of a dinner plate. | Flip it like a pizza (I put a link below to show you how to flip it). | Flip the dough a couple of times and spread it out until paper thin. | Take the one edge and fold it to the middle. Do this another three times so that it will turn into a square. | Grease a flat pan or skillet with cooking oil and cook until golden brown. | http://youtube.com/watch?v=3EucCu1zafk&amp;feature=related.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/27/07/23/9iEMVgMhQxWMEDP3fydW_roti1%20(1%20of%201).jpg",Breads,All,"Breakfast,Asian,< 30 Mins,Easy",709.3
Breakfast Sandwich,"I made it up, but it was really easy because there are so many recipes like it. I like the recipe because you can do almost whatever you want to it. It tastes awesome however you make it.",https://www.food.com/recipe/breakfast-sandwich-10824,2m,5m,7m,"1 sandwich, 1 serving(s)",1   large    egg | 1   whole    bagel (i use a plain one) | 1   slice    cheese (any type) | 2      split sausages | 2   slices    bacon or 1   slice    ham (whichever you prefer) | butter (optional) or   cream cheese (optional) | cream cheese (optional) or   mayonnaise (optional),"heat butter in frying pan until it melts. | Fry sausage, or whatever you chose. | toast bagel until brown or however you desire it. | Spread your butter, mayo, etc. | onto the bagel. | when pan is hot, crack egg into the pan, and scramble it well. | next, add the cheese to the egg and leave it there till it melts. | put the egg onto your bagel and then add the sausage or bacon etc. | Enjoy your sandwich.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/82/4/6occjgA3SbqzjMWMxjq9_breakfast-sandwich-bagel-3766.jpg",Breakfast,All,"Lunch/Snacks,Cheese,South American,Kid Friendly,< 15 Mins,Beginner Cook,Stove Top,Easy",1229.5
Korean-Inspired Breakfast Sandwich,Make and share this Korean-Inspired Breakfast Sandwich recipe from Food.com.,https://www.food.com/recipe/korean-inspired-breakfast-sandwich-534175,5m,10m,15m,1 serving(s),"2   slices    bread (Your Favorite) | 2   tablespoons    butter | 1/2  cup    cabbage kimchi | 3   slices   thick cut bacon | 1/2  teaspoon   korean red chile seasoning | 1/2  teaspoon    dried chipotle powder | 1       jumbo egg | canola nonstick cooking spray | 2   tablespoons    chimichurri sauce (recipe below) | 1   pinch    cilantro | 1 1/2  cups    Italian parsley, packed | 1/2  cup    cilantro | 1/2  cup    olive oil | 1/4  cup    fresh basil | 1/3  cup    red wine vinegar | 3       garlic cloves, peeled | 3/4  teaspoon    red pepper flakes | 3/4  teaspoon    cumin, Ground | 1/2  teaspoon    kosher salt","In a small bowl combine Bacon slices, Korean Chile Seasoning, and Chipotle Seasoning. Heat a saut&eacute; pan to medium-high and fry the seasoned bacon &ndash; about 3 minutes a side until it is jerky-like and slightly crispy. Remove and set aside. | On your bread slices spread a Tbsp of butter on each side. Toast to golden brown in a saut&eacute; pan or toaster oven. Set aside. | Finally fry up your egg. Over medium-high heat, spray your saut&eacute; pan with non-stick spray, crack your eggs and then immediately turn down to low. Allow it to cook for about 3 to 4 minutes. The goal here is to leave a runny yolk so you can go sunny-side up or over-easy. Remove and set aside. | Let's get to building! With one side of toasted bread on a plate, add a layer of Kimchi on the bottom, fold your bacon in half and add, and top with your freshly fried and runny egg.&nbsp;. | Wash, pick and clean Basil, Parsley and Cilantro. Throw all the ingredients into a blender. Puree on high until completely combined. Taste to make sure seasoning is correct. Put in container or squeeze bottle, use right away or refrigerate. Finally drizzle Chimichurri sauce and garnish with cilantro. Enjoy!","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/53/41/75/QrKIyDpSRkmaXxhnDPkl_0S9A3270.jpg",Breakfast,All,< 15 Mins,1570.6
Peach Pancakes,Make and share this Peach Pancakes recipe from Food.com.,https://www.food.com/recipe/peach-pancakes-248093,20m,20m,40m,4 serving(s),"1       egg, lightly beaten | 1/2  cup    peach yogurt | 1/2  cup    1% low-fat milk | 2   tablespoons    canola oil | 1   tablespoon    sugar | 1   cup    flour | 1   teaspoon    baking powder | 1/2  teaspoon    baking soda | 1/4  teaspoon    cinnamon | 1/2  cup    fresh peaches or 1/2  cup    canned peaches, chopped","Mix egg, yogurt, milk, oil, and sugar. | In a separate small bowl, combine the flour, baking powder, baking soda, and cinnamon with a wire whisk. | Add the flour mixture to the liquid | mixture and stir just enough to combine (batter may be lumpy). | Fold in the chopped peaches. | Spray a hot griddle lightly with cooking oil and preheat to 325 degrees. | Pour approximately 1/4 cup of batter on. | the griddle for each pancake. | Cook until light brown on the bottom. | Flip the pancakes over and finish cooking.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/24/80/93/d2F5mrwmRtKKKZYuhs7Y_0S9A5178.jpg",Breakfast,All,"Fruit,< 60 Mins,Easy",258.2
Neapolitan Overnight Oat,Make and share this Neapolitan Overnight Oat recipe from Food.com.,https://www.food.com/recipe/neapolitan-overnight-oat-529396,10m,,10m,1 serving(s),"1/3  cup    milk | 2   tablespoons    cocoa powder | 1   tablespoon    Agave | 1/3  cup    rolled oats | 3/4  cup    vanilla Greek yogurt, divided use | 1   cup   sliced frozen strawberries | 2   teaspoons    sugar | sliced strawberry (to garnish) (optional)","In a pint sized jar with a lid, stir together the milk with cocoa powder and agave until well combined.  Stirl in the oats, cover and refrigerate overnight. | In a small food processor add the frozen strawberries, sugar and 2 tablespoons vanilla yogurt.  Process until smooth. | Top the chocolate oats with the remaining vanilla yogurt in an even layer, layer the strawberry mixture on top of the yogurt.  Top with sliced strawberries and serve immediately.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/52/93/96/EOEJo2quQUK31lUy3Wbe_DSC03146-2.jpg",Oatmeal,All,"Breakfast,Strawberry,Berries,Fruit,< 15 Mins,Easy",288.7
English Muffins With Bacon Butter,Make and share this English Muffins With Bacon Butter recipe from Food.com.,https://www.food.com/recipe/english-muffins-with-bacon-butter-432013,10m,5m,15m,4-6 serving(s),"1/2  cup    butter, softened | 3/4  teaspoon    Dijon mustard | 4   pieces    bacon, cooked and crumbled | 4 -6       English muffins, split",In a bowl combine butter and mustard; stir in bacon. | Toast english muffins; spread with bacon butter. | Refrigerate any leftover butter.,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/43/20/13/MQdDAzZkTIyK8hoBgrim_BACONBUTTER1%20(1%20of%201).jpg",Breakfast,All,"Weeknight,Brunch,< 15 Mins,Easy",370.1
Magic Crust Blender Quiche,Make and share this Magic Crust Blender Quiche recipe from Food.com.,https://www.food.com/recipe/magic-crust-blender-quiche-531171,15m,1h 30m,1h 45m,6-8 serving(s),"3   tablespoons    olive oil | 1 1/2  cups    milk | 3   large    eggs | 1/2  cup    baking mix, such as Bisquick | kosher salt & freshly ground black pepper | 1/4  cup   roughly chopped parsley | 1 1/4  cups    shredded cheddar cheese | 1   cup    cherry tomatoes, halved, about 4 ounces | 1   cup   diced zucchini | 1   cup    broccoli floret | 2       scallions, thinly sliced","Preheat oven to 350 degrees F. Grease a 9-inch deep glass dish pie plate with 1 tablespoon olive oil. | In a blender, combine milk, eggs, baking mix, 1 teaspoon salt, and 3/4 teaspoon pepper. Blend until smooth. Add parsley and blend just to combine. | Sprinkle cheddar in an even layer on bottom of pie plate. Top with zucchini, broccoli, and scallions. Pour egg mixture over vegetables. Top with tomatoes and drizzle with remaining 2 tablespoons olive oil. Transfer to oven. | Bake until quiche is puffed and golden brown and bottom of quiche look baked about 1 hour. Remove and let cool, 15 minutes, before slicing into wedges.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/53/11/71/GheTn6qKT5JVAzOTZRZD_0S9A9657.jpg",Savory Pies,All,"Brunch,< 4 Hours",288.8
Beautiful Quiche Lorraine,"As we all know, this is one of the greatest lunch or brunch dishes ever invented. Prepare in advance, freeze, and bake when needed. This is one of the best recipes for Quiche I know of. Recipe source, &quot;The Country Innkeepers' Cookbook&quot;.",https://www.food.com/recipe/quiche-lorraine-65758,8m,45m,53m,6 serving(s),1 1/2  cups   grated natural swiss cheese | 4   tablespoons    flour | 1/2  cup   finely chopped cooked ham | 3       eggs | 1   cup    milk | 1/4  teaspoon    salt | 1/4  teaspoon    dry mustard | 1 (9   inch)    unbaked pie shells,"Combine the cheese and flour and sprinkle into the pie shell. | Spread the ham evenly over this. | Combine the eggs, milk, salt and mustard. | Beat until smooth and pour evenly over the cheese and ham. | Bake at 375 degrees for 45 minutes, or until the custard is set. | Serve warm, garnished with chopped parsley. | To freeze: Prepare recipe through step 4. Wrap well with saran wrap and then foil. Freeze. | To serve: Thaw in fridge overnight. Bake as directed.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/65/75/8/msgH6Qh6fKeBsmuOOww4_QUICHE_LORRAINE_056.jpg",Savory Pies,All,"Lunch/Snacks,Ham,Pork,Cheese,Meat,Brunch,< 60 Mins,Oven,Beginner Cook,Easy,Inexpensive",366.1
Biltmore Goldenrod Eggs,"Easily made and a beautifully elegant presentation.  From the Southern chapter of the United States Regional Cookbook, Culinary Arts Institute of Chicago, 1947.",https://www.food.com/recipe/biltmore-goldenrod-eggs-277367,10m,10m,20m,4 serving(s),"3       eggs, hard cooked and peeled | 1   cup   medium white sauce, hot | 6   slices    bread, toasted | parsley, for garnish  (optional)",Separate yolks and whites of boiled eggs. | Chop whites finely and add to white sauce. | Pour sauce over 4 pieces of the toast. | Rub egg yolks through a strainer or crumble very finely and sprinkle over the top. | Cut remaining toast in triangles and place on side of dish. | Garnish with parsley.,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/27/73/67/2AGbtmDORUmBhG9TCede_0S9A3649.jpg",Kid Friendly,All,"Brunch,< 30 Mins,Easy,Inexpensive",245.2
Croque Monsieur,Make and share this Croque Monsieur recipe from Food.com.,https://www.food.com/recipe/croque-monsieur-244200,5m,25m,30m,4-8 serving(s),"2   tablespoons    unsalted butter | 3   tablespoons    all-purpose flour | 2   cups   hot milk | 1   teaspoon    kosher salt | 1/2  teaspoon    fresh ground black pepper | 1   pinch    nutmeg | 12   ounces    gruyere, grated  (5 cups) | 1/2  cup   freshly grated parmesan cheese | 16   slices    white bread, crusts removed | Dijon mustard | 8   ounces   baked virginia ham, sliced but not paper thin","Preheat the oven to 400 degrees F. | Melt the butter over low heat in a small saucepan and add the flour all at once, stirring with a wooden spoon for 2 minutes. Slowly pour the hot milk into the butter–flour mixture and cook, whisking constantly, until the sauce is thickened. Off the heat add the salt, pepper, nutmeg, 1/2 cup grated Gruyere, and the Parmesan and set aside. | To toast the bread, place the slices on 2 baking sheets and bake for 5 minutes. Turn each slice and bake for another 2 minutes, until toasted. | Lightly brush half the toasted breads with mustard, add a slice of ham to each, and sprinkle with half the remaining Gruyere. Top with another piece of toasted bread. Slather the tops with the cheese sauce, sprinkle with the remaining Gruyere, and bake the sandwiches for 5 minutes. Turn on the broiler and broil for 3 to 5 minutes, or until the topping is bubbly and lightly browned. Serve hot.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/24/42/00/QAKpU1SUQtWd1u3AKAkU_0S9A8964.jpg",Breakfast,All,"Lunch/Snacks,European,High In...,< 30 Mins,Easy",907.7
Vegan Breakfast Sausage,"I love this recipe, I've eaten it for breakfasts and lunches...  the texture and taste is very much like its' meat version... only this is way better for you.

Good enough to serve to meat eaters, I promise!",https://www.food.com/recipe/vegan-breakfast-sausage-437126,10m,10m,20m,4 serving(s),1   cup    cooked brown rice | 3/4  cup    rolled oats | 2   tablespoons    whole wheat flour | 1   tablespoon    ground flax seeds | 3   tablespoons    water | 1   teaspoon    molasses | 2   tablespoons    canola oil (divided) | 2   tablespoons    nutritional yeast | 1 1/2  tablespoons    tamari | 1/2  teaspoon    red pepper flakes (or more if desired) | 1   teaspoon    black pepper | 1 1/2  teaspoons    ground sage | 1/4  teaspoon    nutmeg | 1/4  teaspoon    thyme,"Stir together flax and water in a small bowl or cup, set aside. | In a food processor, add dry oats and pulse on high six or seven times, add the rice and pulse a few more times. | Add remaining ingredients including 1 T canola oil and flax/water mixture and blend till just mixed. (do not over process, you can finish mixing together with your hands). | With dampened hands, form balls the size of a ping pong ball and then flatten into little patties about 1/4&quot; thick (thicker if you like). | coat the bottom of a non-stick frying pan with the remaining 1 T canola oil and heat over medium high. | When the oil is hot, cook the patties on each side until they are browned. | transfer to a paper towel to blot off any excess oil before serving.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/43/71/26/xVDv0JwmQNabJWz0VR5Z_untitled-0962.jpg",Breakfast,All,"Lunch/Snacks,Brown Rice,Medium Grain Rice,Rice,Vegan,Low Cholesterol,< 30 Mins,Inexpensive,From Scratch",228.3
Breakfast Tater-Tot Casserole,Make and share this Breakfast Tater-Tot Casserole recipe from Food.com.,https://www.food.com/recipe/breakfast-tater-tot-casserole-260476,1h,50m,1h 50m,4-6 serving(s),"2   tablespoons    butter | 2   lbs    frozen tater tots | 4       eggs | 1   cup    milk | 3   cups   shredded cheddar cheese | 2   cups   shredded mozzarella cheese | 1   cup    sour cream | 5       chives, chopped | 1/2  lb   spicy breakfast sausage | 2   teaspoons    seasoning salt | 1   tablespoon    hot sauce | 1/4  cup    breadcrumbs or 1/4  cup    seasoned stuffing mix | salt and pepper","Prepare a glass baking dish (at least 8x10) by spreading butter along the bottom and sides. | In a bowl, mix eggs, milk, sour cream, chives, seasoned salt, hot sauce and salt and pepper and whisk until well blended. | Add 2 cups cheddar and 1 cup mozzarella cheese and tots to mixture. Mix well until all tots are coated and all ingredients mixed. | In small pan, cook sausage until just before done (sausage will finish in the oven), drain well and add to tot mixture. | Pour the mixture into your pre-greased baking pan and top with the rest of the cheese and the bread crumbs. Spread topping evenly. | Bake at 350 degrees for 45 minutes or until topping is golden brown.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/26/04/76/tnFRdHRiS3GZ4bpRVlRT_breakfast-tater-tot-casserole-3522.jpg",One Dish Meal,All,"Breakfast,Pork,Cheese,Meat,Brunch,Oven,Beginner Cook,Stove Top,< 4 Hours,Easy,Inexpensive",1587.5
Whole Wheat Pancakes,These are SO delicious - the honey & whole wheat give them a wonderful flavor. Hope you'll enjoy them as much as we do!,https://www.food.com/recipe/whole-wheat-pancakes-47669,5m,5m,10m,4-6 serving(s),1   cup    whole wheat flour | 2   teaspoons    baking powder | 1/2  teaspoon    salt | 1   tablespoon    honey | 3   tablespoons    oil | 1   cup    buttermilk | 2   large    eggs,Stir honey& oil together in a bowl. | Add milk& eggs& beat well. | Mix dry ingredients into the liquids until flour is moistened.,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/47/66/9/3QHYVNrZTCY6cnyonM3w_WWW%202%20final%20-%20whole%20wheat%20waffles%20(1%20of%201).jpg",Breakfast,All,"High In...,< 15 Mins,Stove Top,Easy,Inexpensive",269.6
French Vanilla Almond Granola,"My husband loves the french vanilla almond granola found in the bulk bins at the grocery store. It is so expensive, I decided to come up with my own recipe. Slow baking and lots of vanilla make this granola crunchy and delicious. I have found that when I increase the recipe, it requires more baking time. When I double the recipe, I have to bake it for 3 hours or more. Just keep baking until dry to the touch.",https://www.food.com/recipe/french-vanilla-almond-granola-499965,10m,2h,2h 10m,"12 1/2 cup servings, 12 serving(s)",3 1/2  cups    old fashioned oats (not quick) | 1/2  cup    sliced almonds | 1/2  cup    water | 1/2  cup    natural cane sugar | 1/4  teaspoon    salt | 1/4  cup   organic canola oil or 1/4  cup    grapeseed oil | 1   tablespoon    vanilla extract,"Heat oven to 200 degrees F. Line a large, rimmed cookie sheet with parchment paper. | In a large bowl mix together the oats and almonds. | In a small saucepan over medium heat, stir the sugar and salt into the water. Cook and stir until sugar is dissolved. Remove from heat. Stir in canola oil and vanilla. Pour into the oat and almond mixture and stir until thoroughly combined. | Spread mixture out on the lined cookie sheet and bake for 2 hours, or until dry to the touch. Do not stir! Remove from oven and let cool before breaking apart into chunks. Store in an air-tight container.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/49/99/65/picKQ5m3M.jpg",Breakfast,All,"Grains,Low Cholesterol,Brunch,< 4 Hours,From Scratch",187.1
Stuffed French Toast,"Thick vanilla French toast stuffed with strawberry cream cheese filling, served like sundae with a split banana, fresh whipped cream, rainbow sprinkles and all the sauces. With inspiration from Serayah.",https://www.food.com/recipe/stuffed-french-toast-535617,5m,10m,15m,2 serving(s),"2   tablespoons    cream cheese | 1   tablespoon    strawberry jam | 1/4  cup    strawberry, sliced | 2   slices    French bread | 1       egg | 1/2  cup    heavy cream | 1/2  teaspoon    pure vanilla extract | 1/2  teaspoon    brown sugar | 1   pinch    cinnamon | cooking spray | 1       banana, split lengthwise | 2   tablespoons    powdered sugar | whipped cream | chocolate syrup | caramel sauce | strawberry sauce | rainbow candy sprinkles","FRENCH TOAST:. | In a small bowl, combine cream cheese and strawberry jam. Stir in sliced strawberries. | Cut a slit through the side of each slice of bread, without cutting all the way through, to create a pocket. Scoop strawberry filling into the pocket and press gently shut. | In a shallow bowl, whisk together egg, heavy cream, vanilla extract, brown sugar and cinnamon. Dunk each slice of bread into egg mixture, soaking each side. Shake off any excess liquid. Cook bread slices on a lightly greased nonstick griddle or skillet on medium heat until browned on both sides, about 2 minutes per side. Remove from heat. | FOR ASSEMBLY:. | Frame the French toast with the split banana. Sprinkle powdered sugar. Use all other ingredients to top like a sundae.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/53/56/17/XpfpCASGQgSPW4PQMdJU_0S9A5532.jpg",Breakfast,All,"< 15 Mins,Easy",610.0
Blueberry Almond Tart With Frangipane,"This lovely tart comes from the wonderful breakfast and brunch cookbook, Morning Glories by Donna Leahy.  When I made this I used coconut macaroons and then when I went back and looked at the title, I realized she intended for the recipe to use almond macaroons - oops!  Anyway, it was still really good.  Next time I'll use almond macaroons; I'll also add a bit of cinnamon to the blueberry filling.",https://www.food.com/recipe/blueberry-almond-tart-with-frangipane-215348,25m,40m,1h 5m,1 tart,"3/4  cup    milk | 2   teaspoons    vanilla | 1/2  cup    flour | 1/2  cup    sugar | 2      beaten egg yolks | 1/3  cup   crushed almond macaroon | 2   tablespoons    butter, softened | 1/2  lb    butter | 1/2  cup    sugar | 1   teaspoon    almond extract | 1   teaspoon   grated lemon zest | 2 1/4  cups    flour | 1 1/2  teaspoons    baking powder | 1/2  cup    sugar | 1/3  cup    flour | 1 1/2  tablespoons    cornstarch | 3   cups    blueberries (about 1 lb) | 1   teaspoon    lemon juice | 2   tablespoons    butter | 1/4  cup    powdered sugar","Frangipane:. | in a medium saucepan, bring the milk and vanilla to a boil.  Set aside. | In another saucepan, combine the flour, sugar, and beaten egg yolks. | Gradually add the hot milk till combined. | Cook slowly over low heat, stirring constantly, till cream thickens. | (at this point, I put it through a strainer to get rid of any cooked-egg lumps). | Pour the cream into a bowl and stir in the crushed macaroons.  Set aside to cool to room temperature. | Crust:. | Preheat oven to 350.  Using a mixer, cream together the butter and sugar; add the egg yolks, almond extract and lemon zest.  Beat till smooth. | Add the flour and baking powder and mix well. | Using a 9 or 10 inch tart or springform pan with removable bottome, press 2/3 of the dough in the bottom of the pan with your fingers and work the dough up the rim about 1/2 inch.  Set the remaining dough aside (refrigerating is a good idea - it may help rolling out later). | Filling:. | in a medium bowl, mix together the sugar, flour and cornstarch. Stir in the blueberries, sprinkle with lemon (and cinnamon if desired)and toss to coat blueberries evenly. | Assembly:. | spread an even layer of the frangipane in the bottom of the crust, using just enough to cover. | Pour in the blueberry mixture and dot the top with 2 T of butter. | On a floured surface, roll out the remaining dough to 1/16 inch thick (I found this dough quite moist and fragile, so sprinkle with flour). | Cut strips of dough 1/2 inch wide and arrange them diagonally, 1/2 inch apart, to form a lattice top.  Trim away overhanging dough. | Bake for 40 minutes or till lightly browned. | Dust with powdered sugar and serve warm.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/21/53/48/picpTrJd5.jpg",Tarts,All,"Dessert,Berries,Fruit,< 4 Hours",5266.6
